Date,AAPL,AXP,KO,BAC,CVX,OXY,MCO,KHC,CB,DVA,KR,VRSN,V,SIRI,STZ,MA,AMZN,AON,COF,DPZ,ALLY,TMUS,CHTR,LPX,POOL,FWONK,NVR,DEO,JEF,LILA,BATRK,LILAK,NU,C
2020-03-05,70.9924545288086,103.34066772460938,47.89695358276367,23.511930465698242,76.92596435546875,29.05309295654297,241.6946563720703,20.644227981567383,132.08958435058594,81.11000061035156,29.931781768798828,191.78700256347656,180.13031005859375,61.92749786376953,168.43289184570312,282.2258605957031,96.20149993896484,208.60073852539062,77.54808044433594,312.43505859375,20.84898567199707,87.5518798828125,505.1400146484375,26.934118270874023,213.75807189941406,34.79842758178711,3923.610107421875,126.84085845947266,15.985549926757812,13.562677383422852,24.75,13.67231559753418,,52.032386779785156
2020-03-06,70.04966735839844,100.82560729980469,46.64761734008789,22.57250213623047,75.44584655761719,24.789260864257812,228.16567993164062,20.16395378112793,132.0258026123047,81.83999633789062,28.652950286865234,191.48782348632812,177.62533569335938,60.06220245361328,165.0231170654297,278.61474609375,95.05449676513672,206.70510864257812,75.00507354736328,315.60589599609375,20.47804069519043,85.6032485961914,496.7200012207031,25.210189819335938,212.1263885498047,34.4837760925293,3845.22998046875,126.86729431152344,15.611530303955078,13.95853042602539,24.360000610351562,13.992466926574707,,50.22120666503906
2020-03-09,64.50927734375,91.55719757080078,43.77751159667969,19.2537899017334,63.8503532409668,11.895423889160156,201.73915100097656,18.560440063476562,123.04596710205078,77.19999694824219,27.946462631225586,176.32916259765625,164.87857055664062,56.33163833618164,151.35643005371094,254.34597778320312,90.03050231933594,172.17886352539062,66.60126495361328,315.84991455078125,17.75493812561035,77.70155334472656,463.2099914550781,21.966224670410156,200.91221618652344,29.45919418334961,3632.35009765625,118.5967788696289,13.782050132751465,12.422243118286133,22.43000030517578,12.344633102416992,,42.09960174560547
2020-03-10,69.15534210205078,96.2240219116211,45.2969856262207,20.728776931762695,67.26173400878906,13.63552188873291,217.76539611816406,18.978744506835938,126.81108093261719,77.72000122070312,29.153749465942383,185.5540008544922,175.9295654296875,59.03629684448242,152.3516845703125,272.3631286621094,94.59100341796875,176.19154357910156,71.4138412475586,322.67974853515625,18.893075942993164,82.79722595214844,476.760009765625,22.44818878173828,204.3736114501953,31.297935485839844,3750.0,122.23439025878906,14.839077949523926,12.214892387390137,22.510000228881836,12.231637954711914,,45.54985809326172
2020-03-11,66.7535400390625,88.84652709960938,44.072967529296875,19.903486251831055,65.71829223632812,11.220304489135742,202.13143920898438,18.32804298400879,119.69109344482422,74.87000274658203,27.35623550415039,177.54583740234375,166.63209533691406,56.42490005493164,142.90574645996094,261.8693542480469,91.04299926757812,178.00062561035156,65.09735107421875,312.0878601074219,17.46829605102539,84.22945404052734,450.6499938964844,20.390588760375977,196.06214904785156,28.131759643554688,3411.89990234375,115.69902038574219,13.977191925048828,11.187559127807617,20.06999969482422,11.30885124206543,,41.62427520751953
2020-03-12,60.161319732666016,77.80824279785156,39.810020446777344,18.007080078125,60.35983657836914,11.30588436126709,184.98573303222656,15.806561470031738,106.426513671875,68.25,26.041627883911133,165.21945190429688,154.2322235107422,51.85494613647461,121.12016296386719,234.43594360351562,83.83049774169922,166.94415283203125,57.99696731567383,298.1986389160156,16.507204055786133,74.7883529663086,427.5400085449219,16.794437408447266,176.7537841796875,25.11307716369629,2947.199951171875,110.57290649414062,12.107061386108398,9.25541877746582,17.34000015258789,9.359699249267578,,35.45315933227539
2020-03-13,67.369140625,92.7774429321289,41.274696350097656,21.211654663085938,66.02698516845703,13.55945110321045,203.86325073242188,18.887500762939453,111.09417724609375,75.94999694824219,27.463546752929688,182.12335205078125,169.40689086914062,55.02593994140625,122.548583984375,262.11199951171875,89.25,170.75473022460938,66.39163208007812,297.74737548828125,17.341840744018555,83.19668579101562,454.19000244140625,19.194963455200195,194.91799926757812,27.030481338500977,2922.280029296875,112.49300384521484,13.513724327087402,9.820923805236816,18.3799991607666,9.868172645568848,,41.829158782958984
2020-03-16,58.70230484008789,79.9879379272461,38.54121017456055,17.94562530517578,55.167598724365234,11.429495811462402,177.38882446289062,17.350971221923828,92.45997619628906,71.73999786376953,27.812320709228516,159.8441162109375,146.45701599121094,47.37826156616211,114.96417236328125,228.7570343017578,84.4574966430664,164.09580993652344,50.5411262512207,269.2449951171875,13.564908027648926,74.56426239013672,389.1099853515625,15.441239356994629,162.19212341308594,20.167158126831055,2321.780029296875,100.69056701660156,12.367253303527832,8.171536445617676,16.639999389648438,8.154425621032715,,33.75672149658203
2020-03-17,61.283447265625,80.6493148803711,40.17618942260742,19.297687530517578,55.951194763183594,10.782902717590332,193.3576202392578,18.77718734741211,100.35490417480469,75.12999725341797,29.511463165283203,175.71084594726562,152.1222381591797,50.64250946044922,114.68770599365234,230.92181396484375,90.39199829101562,158.2644500732422,49.146575927734375,280.9241943359375,13.548046112060547,76.33750915527344,393.0199890136719,15.404167175292969,171.35462951660156,21.779743194580078,2271.550048828125,99.8890609741211,12.912034034729004,10.490103721618652,16.790000915527344,10.018832206726074,,32.98635482788086
2020-03-18,59.783241271972656,68.69817352294922,38.192073822021484,18.252912521362305,43.57211685180664,10.012696266174316,166.81631469726562,18.666873931884766,90.99221801757812,75.25,30.325267791748047,163.5540008544922,143.05599975585938,44.300537109375,111.73873138427734,221.2628173828125,91.5,150.03704833984375,40.378211975097656,272.7054138183594,10.403417587280273,72.4110336303711,381.5199890136719,13.226078987121582,177.21707153320312,20.35398292541504,2286.27001953125,91.63617706298828,11.277701377868652,8.510839462280273,13.470000267028809,8.52165699005127,,29.855728149414062
2020-03-19,59.32517623901367,71.79074096679688,35.620391845703125,18.61288070678711,45.424217224121094,10.297957420349121,170.22247314453125,17.555845260620117,90.5053939819336,71.33999633789062,30.566720962524414,164.15237426757812,146.68826293945312,44.67360305786133,113.40673828125,220.50567626953125,94.04650115966797,145.37966918945312,42.16469192504883,303.8691711425781,10.858671188354492,77.40925598144531,393.05999755859375,14.78317928314209,183.31597900390625,23.608652114868164,2709.419921875,98.27722930908203,11.131340026855469,9.23656940460205,15.760000228881836,8.945385932922363,,32.48643112182617
2020-03-20,55.55887222290039,69.0428237915039,32.61441421508789,17.269590377807617,47.00721740722656,9.727434158325195,168.20364379882812,17.555845260620117,93.28861236572266,64.98999786376953,28.41149139404297,156.7026824951172,141.4662628173828,41.40934371948242,110.310302734375,205.23582458496094,92.30449676513672,143.90740966796875,41.025367736816406,282.0621032714844,9.86385440826416,72.6351318359375,371.70001220703125,13.244616508483887,158.64627075195312,22.615535736083984,2326.889892578125,96.49806213378906,10.033658027648926,8.86899185180664,16.0,8.69114875793457,,31.191572189331055
2020-03-23,54.37858581542969,64.23626708984375,31.9842586517334,15.873626708984375,42.915164947509766,9.213961601257324,157.9564208984375,16.366018295288086,86.52803039550781,65.73999786376953,27.794431686401367,150.75888061523438,130.78140258789062,42.155460357666016,97.35322570800781,197.35330200195312,95.1415023803711,139.990966796875,39.074806213378906,304.5555419921875,10.226373672485352,73.75557708740234,381.7799987792969,12.975831031799316,160.0929718017578,21.091445922851562,2175.0,90.35902404785156,9.960474967956543,9.63242244720459,15.539999961853027,9.340866088867188,,29.003406524658203
